Date,Open,High,Low,Close,Adj Close,Volume
2020-01-21,196.289993,197.419998,196.289993,196.800003,188.492096,393700
2020-01-22,197.289993,197.800003,196.899994,197.089996,188.769852,154900
2020-01-23,197.000000,197.630005,194.869995,196.100006,187.821625,191500
2020-01-24,196.240005,196.240005,192.210007,192.630005,184.498123,1039500
2020-01-27,190.160004,191.970001,190.009995,191.229996,183.157211,251100
2020-01-28,191.940002,193.070007,191.360001,192.399994,184.277817,243700
2020-01-29,192.750000,193.279999,191.929993,191.929993,183.827682,195800
2020-01-30,190.800003,190.800003,188.889999,190.589996,182.544220,258700
2020-01-31,190.020004,190.020004,186.289993,186.949997,179.057922,356100
2020-02-03,188.110001,189.949997,188.110001,188.699997,180.734009,456400
2020-02-04,190.929993,192.820007,190.820007,192.139999,184.028824,310500
2020-02-05,193.380005,196.240005,193.309998,195.580002,187.323608,209800
2020-02-06,196.259995,196.259995,195.009995,195.889999,187.620499,127300
2020-02-07,195.580002,195.880005,193.899994,194.210007,186.011444,117900
2020-02-10,193.729996,195.470001,193.270004,195.470001,187.218246,79700
2020-02-11,196.110001,196.789993,195.820007,196.679993,188.377106,266600
2020-02-12,197.500000,197.729996,196.330002,197.100006,188.779419,103200
2020-02-13,196.410004,197.100006,195.809998,196.240005,187.955750,121300
2020-02-14,196.570007,196.809998,195.660004,196.690002,188.386749,87800
2020-02-18,196.520004,196.850006,195.389999,196.149994,187.869522,155400
2020-02-19,196.630005,197.529999,196.210007,197.229996,188.903915,103500
2020-02-20,196.699997,196.830002,194.020004,195.940002,187.668365,151200
2020-02-21,195.250000,195.929993,194.399994,195.820007,187.553467,377000
2020-02-24,190.889999,191.750000,188.550003,189.580002,181.576904,373600
2020-02-25,190.179993,190.720001,183.149994,183.919998,176.155807,406000
2020-02-26,184.550003,186.720001,182.889999,183.320007,175.581131,357000
2020-02-27,180.899994,184.059998,177.320007,177.320007,169.834427,341600
2020-02-28,172.050003,175.289993,170.500000,175.289993,167.890152,1457200
2020-03-02,176.000000,183.169998,174.690002,183.169998,175.437469,493200
2020-03-03,183.770004,186.710007,176.169998,178.389999,170.859238,315400
2020-03-04,184.539993,188.539993,183.179993,188.369995,180.417953,818800
2020-03-05,184.520004,186.970001,182.139999,184.259995,176.481430,261500
2020-03-06,178.750000,183.279999,178.419998,182.610001,174.901123,442700
2020-03-09,171.509995,177.160004,170.000000,172.809998,165.514847,715100
2020-03-10,177.309998,178.289993,169.970001,178.250000,171.165939,335300
2020-03-11,173.880005,174.839996,168.679993,170.830002,164.040848,262400
2020-03-12,160.000000,166.660004,157.309998,157.320007,151.067749,1103800
2020-03-13,165.259995,168.660004,155.860001,168.639999,161.937866,473500
2020-03-16,153.020004,161.889999,150.000000,150.000000,144.038666,663400
2020-03-17,153.970001,160.919998,151.059998,159.169998,152.844208,668600
2020-03-18,150.949997,157.039993,146.639999,153.789993,147.678024,494300
2020-03-19,152.440002,155.500000,149.309998,152.470001,146.410507,563500
2020-03-20,154.070007,155.880005,146.000000,146.000000,140.197617,578200
2020-03-23,145.619995,145.990005,138.110001,139.960007,134.397675,625800
2020-03-24,147.179993,151.570007,146.119995,151.039993,145.037308,588300
2020-03-25,151.789993,158.229996,149.250000,152.970001,146.890625,497000
2020-03-26,153.899994,164.039993,153.899994,163.279999,156.790863,682500
2020-03-27,159.350006,163.740005,158.330002,159.899994,153.545197,587200
2020-03-30,162.009995,167.369995,162.009995,166.770004,160.142197,1192300
2020-03-31,167.669998,168.050003,164.770004,166.089996,159.489197,511100
2020-04-01,161.199997,162.250000,158.050003,159.589996,153.247528,423600
2020-04-02,158.800003,164.000000,157.460007,163.970001,157.453461,251500
2020-04-03,163.559998,164.600006,160.360001,162.130005,155.686569,294700
2020-04-06,167.690002,171.699997,166.740005,170.850006,164.060028,301900
2020-04-07,175.179993,175.630005,169.259995,169.470001,162.734879,503800
2020-04-08,171.199997,177.309998,168.889999,176.139999,169.139801,356900
2020-04-09,178.190002,178.720001,176.320007,177.740005,170.676208,487300
2020-04-13,177.979996,177.979996,173.830002,176.279999,169.274246,403700
2020-04-14,179.910004,182.740005,179.369995,182.220001,174.978149,527100
2020-04-15,179.899994,182.039993,178.520004,180.750000,173.566589,348400
2020-04-16,182.339996,185.199997,181.619995,184.860001,177.513245,334700
2020-04-17,190.869995,190.919998,186.410004,189.309998,181.786392,628500
2020-04-20,187.520004,191.000000,187.029999,188.380005,180.893326,697700
2020-04-21,185.339996,186.039993,182.130005,182.449997,175.199005,307600
2020-04-22,185.649994,186.240005,183.949997,185.380005,178.012589,219400
2020-04-23,186.740005,189.419998,186.330002,186.589996,179.174500,308200
2020-04-24,188.029999,189.770004,186.720001,189.479996,181.949631,241800
2020-04-27,191.020004,192.899994,190.639999,192.130005,184.494308,402400
2020-04-28,193.820007,193.910004,187.770004,188.020004,180.547653,516100
2020-04-29,190.869995,191.130005,188.399994,189.889999,182.343353,258800
2020-04-30,188.970001,190.160004,187.690002,188.419998,180.931763,354700
2020-05-01,186.320007,186.320007,182.910004,184.619995,177.282791,356300
2020-05-04,184.070007,185.399994,183.220001,185.190002,177.830124,286200
2020-05-05,187.039993,190.669998,186.380005,189.089996,181.575119,303300
2020-05-06,190.630005,190.630005,187.729996,187.820007,180.355621,329900
2020-05-07,189.830002,189.940002,187.889999,188.100006,180.624481,298900
2020-05-08,190.169998,190.169998,188.690002,189.259995,181.738403,213600
2020-05-11,188.479996,193.529999,188.460007,193.059998,185.387344,783800
2020-05-12,194.220001,194.410004,190.000000,190.000000,182.448959,303400
2020-05-13,189.800003,190.990005,185.910004,187.529999,180.077133,286900
2020-05-14,185.570007,189.240005,185.330002,189.139999,181.623154,258400
2020-05-15,188.649994,191.309998,188.460007,191.300003,183.697311,250600
2020-05-18,195.000000,196.089996,193.229996,193.369995,185.685028,482700
2020-05-19,193.130005,193.660004,190.850006,190.919998,183.332413,269500
2020-05-20,192.250000,193.250000,191.199997,191.539993,183.927765,236300
2020-05-21,191.229996,191.229996,189.279999,190.410004,182.842697,346800
2020-05-22,190.350006,191.050003,189.479996,191.020004,183.428436,136600
2020-05-26,194.580002,194.580002,190.139999,190.550003,182.977127,269700
2020-05-27,190.960007,192.289993,187.360001,192.139999,184.503937,363100
2020-05-28,193.440002,196.449997,193.440002,194.309998,186.587692,267900
2020-05-29,194.750000,196.800003,192.179993,196.619995,188.805893,352400
2020-06-01,195.580002,195.690002,193.750000,195.059998,187.307846,227000
2020-06-02,195.429993,196.339996,193.699997,196.339996,188.537018,212900
2020-06-03,196.979996,196.979996,195.070007,195.520004,187.749603,281100
2020-06-04,194.559998,195.559998,192.360001,193.589996,185.896286,223000
2020-06-05,195.110001,198.000000,193.699997,196.639999,188.825104,280300
2020-06-08,196.610001,198.240005,195.440002,198.149994,190.275085,204500
2020-06-09,197.740005,198.679993,195.979996,196.229996,188.431381,690200
2020-06-10,197.029999,197.440002,194.940002,196.050003,188.258530,185500
2020-06-11,193.710007,193.800003,184.610001,185.199997,177.839752,512800
2020-06-12,189.199997,189.759995,183.000000,186.360001,178.953629,296700
